Step ID,Step Description,Next Step ID,Connector Label,Shape Type,Function
10,Developer edits configuration files locally,20,git push,Process,1. Developer Workspace
20,Local Git Workspace push to GitHub,30,,Process,1. Developer Workspace
30,Evaluate Branch Target?,"40,50,70","dev,uat,main",Decision,2. GitHub Lifecycle
40,Trigger: DEV Workflow,100,Direct Push,Process,2. GitHub Lifecycle
50,UAT Approval Gate (1 Reviewer),60,,Decision,2. GitHub Lifecycle
60,Trigger: UAT Workflow,110,Approved,Process,2. GitHub Lifecycle
70,PROD Approval Gate (2 Reviewers),80,,Decision,2. GitHub Lifecycle
80,Trigger: PROD Workflow,120,Approved,Process,2. GitHub Lifecycle
100,"Launch DEV Runner (Checkout, Validate JSON)",130,,Process,3. GitHub Actions Runner
110,"Launch UAT Runner (Checkout, Validate JSON)",140,,Process,3. GitHub Actions Runner
120,"Launch PROD Runner (Checkout, Validate JSON)",150,,Process,3. GitHub Actions Runner
130,Fetch DEV Credentials (GitHub/Vault),160,,Database,3. GitHub Actions Runner
140,Fetch UAT Credentials (GitHub/Vault),170,,Database,3. GitHub Actions Runner
150,Fetch PROD Credentials (GitHub/Vault),180,,Database,3. GitHub Actions Runner
160,Execute deploy_cli.sh (Compile/Tokenize),190,,Process,4. Scripts & Compilation
170,Execute deploy_cli.sh (Compile/Tokenize),190,,Process,4. Scripts & Compilation
180,Execute deploy_cli.sh (Compile/Tokenize),190,,Process,4. Scripts & Compilation
190,Invoke SailPoint CLI (spconfig import),"200,210,220",Apply to Tenant,Process,5. SailPoint CLI Core
200,DEV Tenant,,,Start/End,6. Target Tenants
210,UAT Tenant,,,Start/End,6. Target Tenants
220,PROD Tenant,,,Start/End,6. Target Tenants
300,Admin triggers Export Workflow,310,,Process,7. Configuration Sync
310,Execute export.sh (Extract config via CLI),320,,Process,7. Configuration Sync
320,Commit and push changes back to git,20,,Process,7. Configuration Sync
